MOLECULE_NAME,SMILES,log_fu
103367425,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C,-0.262886906
103367920,CC(C1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)Cl)C(=O)O,-2.619788758
103376533,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,-1.53313238
103379543,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2(C3C1C4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C,-0.619246229
103381951,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC#C)N2C=CC=C(C2=O)NC(=O)C3=NOC(=C3)C,-0.353890478
103382559,CN(C)C1=NC2=CC=CC=C2C(=C1)NC(=O)NC3=CC(=CC=C3)Cl,-2.853871964
103383001,CC(C(=O)NC1=CC(=CC=C1)S(=O)(=O)C2=CC=CC=C2)(C(F)(F)F)O,-1.041436117
103383078,CC(C(=O)NC1=CC=C(C=C1)S(=O)(=O)N(C)C2=CC=CC=C2)(C(F)(F)F)O,-1.640164518
103384889,CC1=NOC(=C1)CCCOC2=C(C=C(C=C2Cl)C3=NCCO3)Cl,-2.468521083
103386275,CCOC(=O)NC1=NC(=C2C(=C1)NCCC(=N2)C3=CC=CC=C3)N,-1.2644011
103389223,C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,-1.179798541
103394669,CCC1=C(C2=C(N1CC3=CC=CC=C3)C=CC=C2OCC(=O)N)C(=O)C(=O)N,-0.821023053
103394702,CCC1=C(C2=C(N1CC3=CC=CC=C3)C=CC=C2OCC(=O)O)C(=O)C(=O)N,-0.907279355
